5-8,152,609,761
7-8,93,556,649
2-15,58,570,628
5-19,100,510,610
2-6,100,503,603
3-16,77,505,582
7-14,184,376,560
15-16,190,351,541
3-14,100,436,536
1-18,191,332,523
10-12,229,291,520
5-11,72,443,515
2-11,80,433,513
6-10,276,236,512
9-12,262,246,508
6-15,100,404,504
11-16,100,386,486
9-13,204,280,484
4-10,97,381,478
6-14,161,315,476
4-9,124,351,475
5-16,158,312,470
8-13,100,368,468
14-17,109,357,466
3-17,82,380,462
1-19,82,376,458
5-17,114,341,455
8-18,128,327,455
0-3,88,362,450
5-15,175,273,448
10-17,161,284,445
2-4,194,250,444
2-3,226,217,443
1-2,88,351,439
4-13,14,425,439
6-9,0,439,439
4-5,150,287,437
2-19,168,261,429
3-5,142,287,429
9-17,207,209,416
10-15,28,387,415
0-4,107,303,410
0-13,154,244,398
0-18,168,229,397
7-15,80,317,397
5-12,84,308,392
6-13,0,389,389
2-14,114,274,388
16-19,0,386,386
0-1,0,385,385
7-11,82,303,385
1-9,122,260,382
0-19,246,135,381
3-15,53,327,380
8-12,152,227,379
10-13,0,377,377
16-17,179,196,375
3-8,122,250,372
6-7,0,371,371
0-8,154,216,370
13-15,150,220,370
1-5,80,287,367
8-19,14,353,367
10-16,86,280,366
5-6,88,277,365
0-5,0,361,361
13-17,0,361,361
3-13,94,266,360
1-10,61,295,356
13-19,97,256,353
10-19,106,246,352
0-10,45,301,346
6-18,189,156,345
7-19,122,220,342
1-14,113,226,339
2-12,97,242,339
6-16,97,240,337
12-18,14,322,336
3-19,100,235,335
7-18,122,209,331
1-3,119,211,330
10-14,35,294,329
15-18,61,266,327
2-13,96,230,326
11-17,205,120,325
4-8,77,245,322
8-14,82,236,318
14-18,72,246,318
3-10,160,156,316
8-16,70,245,315
2-9,0,314,314
1-17,11,301,312
9-18,88,222,310
12-15,168,142,310
8-11,94,215,309
9-10,66,243,309
7-17,122,181,303
12-14,61,242,303
12-16,0,303,303
7-13,45,256,301
4-12,0,297,297
9-16,93,204,297
1-6,118,178,296
18-19,80,215,295
4-19,96,196,292
8-15,72,219,291
11-19,64,227,291
5-9,0,288,288
11-13,35,252,287
12-17,0,285,285
5-14,94,189,283
1-15,145,136,281
3-11,14,263,277
14-15,0,277,277
17-19,93,178,271
6-17,0,270,270
12-19,0,268,268
16-18,82,186,268
9-19,81,185,266
0-14,97,160,257
0-17,0,253,253
1-7,0,252,252
3-9,14,237,251
11-14,93,158,251
3-12,124,125,249
1-11,70,176,246
0-15,70,172,242
4-6,58,184,242
1-16,72,166,238
4-7,161,72,233
0-12,0,231,231
13-18,32,199,231
13-14,58,172,230
2-8,29,200,229
9-15,97,132,229
2-16,45,180,225
3-7,11,214,225
7-16,96,128,224
17-18,66,153,219
5-7,77,141,218
2-5,35,182,217
10-11,91,121,212
8-17,97,114,211
0-11,100,110,210
3-18,70,138,208
6-19,72,133,205
7-9,0,200,200
1-13,100,99,199
11-18,11,188,199
2-17,0,197,197
3-4,0,196,196
2-10,0,195,195
7-12,100,93,193
9-14,114,75,189
4-15,88,98,186
8-9,0,184,184
15-17,36,142,178
6-8,111,61,172
0-9,0,170,170
4-11,64,106,170
0-2,82,86,168
0-16,78,82,160
10-18,58,100,158
5-10,11,143,154
13-16,94,58,152
6-12,63,88,151
2-18,100,45,145
15-19,0,143,143
3-6,0,134,134
0-7,118,0,118
1-8,35,83,118
12-13,83,35,118
4-14,66,45,111
4-16,11,100,111
4-17,100,11,111
11-12,45,64,109
1-4,93,14,107
4-18,0,100,100
1-12,96,0,96
5-13,0,96,96
9-11,96,0,96
11-15,0,94,94
8-10,14,71,85
14-19,14,68,82
2-7,14,66,80
6-11,77,0,77
7-10,72,0,72
5-18,64,0,64
14-16,18,45,63
0-6,25,35,60
