# Archivo que contiene las ventanas para cada segmento del sistema.
# Formato de los Datos:
# id	SegmA	SegmB	Tiempo_de_inicio(seg)	Duracion_ventana(seg)

1	LEO1	LEO4	1	87
2	LEO2	LEO3	1	87
3	LEO5	LEO16	1	87
4	LEO6	LEO7	1	87
5	LEO8	LEO15	1	87
6	LEO9	LEO13	1	87
7	LEO10	LEO19	1	87
8	LEO11	LEO20	1	87
9	LEO17	LEO18	1	87
10	LEO1	LEO7	88	14
11	LEO2	LEO6	88	14
12	LEO3	LEO12	88	14
13	LEO4	LEO10	88	14
14	LEO5	LEO14	88	14
15	LEO8	LEO16	88	14
16	LEO9	LEO11	88	14
17	LEO13	LEO19	88	14
18	LEO15	LEO20	88	14
19	LEO1	LEO14	102	61
20	LEO2	LEO11	102	61
21	LEO3	LEO4	102	61
22	LEO5	LEO10	102	61
23	LEO6	LEO9	102	61
24	LEO8	LEO17	102	61
25	LEO12	LEO18	102	61
26	LEO13	LEO15	102	61
27	LEO16	LEO19	102	61
28	LEO1	LEO16	163	70
29	LEO2	LEO12	163	70
30	LEO4	LEO19	163	70
31	LEO5	LEO8	163	70
32	LEO6	LEO13	163	70
33	LEO7	LEO15	163	70
34	LEO9	LEO17	163	70
35	LEO10	LEO20	163	70
36	LEO11	LEO18	163	70
37	LEO2	LEO4	233	28
38	LEO3	LEO15	233	28
39	LEO5	LEO6	233	28
40	LEO7	LEO13	233	28
41	LEO8	LEO18	233	28
42	LEO9	LEO19	233	28
43	LEO11	LEO16	233	28
44	LEO12	LEO20	233	28
45	LEO14	LEO17	233	28
46	LEO1	LEO3	261	82
47	LEO2	LEO20	261	82
48	LEO4	LEO18	261	82
49	LEO6	LEO16	261	82
50	LEO7	LEO11	261	82
51	LEO8	LEO12	261	82
52	LEO9	LEO15	261	82
53	LEO10	LEO13	261	82
54	LEO17	LEO19	261	82
55	LEO1	LEO5	343	72
56	LEO2	LEO17	343	72
57	LEO3	LEO4	343	72
58	LEO6	LEO12	343	72
59	LEO7	LEO20	343	72
60	LEO8	LEO11	343	72
61	LEO9	LEO16	343	72
62	LEO10	LEO18	343	72
63	LEO13	LEO14	343	72
64	LEO15	LEO19	343	72
65	LEO1	LEO17	415	64
66	LEO2	LEO10	415	64
67	LEO3	LEO7	415	64
68	LEO4	LEO11	415	64
69	LEO5	LEO12	415	64
70	LEO6	LEO19	415	64
71	LEO8	LEO20	415	64
72	LEO9	LEO13	415	64
73	LEO14	LEO16	415	64
74	LEO15	LEO18	415	64
75	LEO1	LEO8	479	100
76	LEO2	LEO14	479	100
77	LEO3	LEO5	479	100
78	LEO4	LEO15	479	100
79	LEO6	LEO20	479	100
80	LEO7	LEO16	479	100
81	LEO9	LEO19	479	100
82	LEO10	LEO18	479	100
83	LEO11	LEO13	479	100
84	LEO12	LEO17	479	100
85	LEO1	LEO7	579	11
86	LEO2	LEO18	579	11
87	LEO3	LEO9	579	11
88	LEO4	LEO8	579	11
89	LEO5	LEO17	579	11
90	LEO6	LEO11	579	11
91	LEO10	LEO20	579	11
92	LEO12	LEO19	579	11
93	LEO13	LEO14	579	11
94	LEO1	LEO14	590	93
95	LEO2	LEO5	590	93
96	LEO3	LEO4	590	93
97	LEO6	LEO16	590	93
98	LEO7	LEO19	590	93
99	LEO8	LEO9	590	93
100	LEO10	LEO17	590	93
101	LEO11	LEO13	590	93
102	LEO12	LEO15	590	93
103	LEO18	LEO20	590	93
104	LEO1	LEO19	683	77
105	LEO2	LEO15	683	77
106	LEO3	LEO20	683	77
107	LEO4	LEO17	683	77
108	LEO5	LEO9	683	77
109	LEO6	LEO8	683	77
110	LEO7	LEO12	683	77
111	LEO10	LEO14	683	77
112	LEO11	LEO18	683	77
113	LEO13	LEO16	683	77
114	LEO1	LEO15	760	97
115	LEO2	LEO19	760	97
116	LEO3	LEO13	760	97
117	LEO4	LEO6	760	97
118	LEO5	LEO11	760	97
119	LEO7	LEO17	760	97
120	LEO9	LEO18	760	97
121	LEO10	LEO16	760	97
122	LEO14	LEO20	760	97
123	LEO1	LEO5	857	35
124	LEO2	LEO9	857	35
125	LEO3	LEO6	857	35
126	LEO4	LEO16	857	35
127	LEO7	LEO13	857	35
128	LEO8	LEO17	857	35
129	LEO10	LEO18	857	35
130	LEO11	LEO15	857	35
131	LEO12	LEO14	857	35
132	LEO19	LEO20	857	35
133	LEO1	LEO9	892	96
134	LEO2	LEO13	892	96
135	LEO3	LEO14	892	96
136	LEO4	LEO11	892	96
137	LEO5	LEO20	892	96
138	LEO6	LEO18	892	96
139	LEO7	LEO19	892	96
140	LEO8	LEO15	892	96
141	LEO10	LEO12	892	96
